Id,actualvalues,predictedvalues
2705F.wav,N,N
2707M.wav,H,N
2708F.wav,N,S
2710M.wav,A,A
2711M.wav,A,A
2712M.wav,A,A
2713M.wav,W,N
2714M.wav,H,N
2715M.wav,A,A
2720F.wav,N,A
2721M.wav,N,N
2722F.wav,A,S
2724F.wav,S,A
2725M.wav,W,S
2726M.wav,A,A
2727F.wav,A,N
2728M.wav,S,S
2729F.wav,S,S
2733M.wav,A,N
2734F.wav,N,A
2735M.wav,A,A
2736M.wav,N,N
2737F.wav,W,N
2738M.wav,A,A
2740M.wav,N,N
2741M.wav,A,A
2743M.wav,A,A
2744F.wav,S,N
2745F.wav,A,A
2746F.wav,S,N
2747M.wav,N,N
2748M.wav,N,N
2749M.wav,N,N
2750M.wav,N,N
2752M.wav,N,N
2753M.wav,A,N
2754F.wav,S,N
2755M.wav,H,A
2756M.wav,A,A
2757M.wav,N,N
2761F.wav,N,A
2762M.wav,N,N
2764M.wav,A,A
2765M.wav,H,N
2766M.wav,N,N
2767F.wav,N,A
2768F.wav,A,A
2769M.wav,A,A
2770F.wav,S,A
2771M.wav,N,N
2772M.wav,N,A
2773M.wav,N,N
2774M.wav,S,N
2775M.wav,N,N
2776F.wav,A,A
2779M.wav,N,N
2780M.wav,N,N
2782F.wav,A,N
2783M.wav,H,A
2784F.wav,A,A
2785M.wav,S,N
2786M.wav,S,S
2787F.wav,A,A
2788F.wav,A,A
2790F.wav,N,N
2791F.wav,S,S
2792M.wav,A,N
2793M.wav,W,N
2794M.wav,A,A
2795M.wav,S,N
2797F.wav,A,A
2798M.wav,N,N
2800F.wav,A,A
2801F.wav,S,A
2802M.wav,S,N
2803F.wav,H,N
2804M.wav,A,S
2805F.wav,H,S
2806M.wav,A,N
2808M.wav,A,S
2810M.wav,N,N
2811M.wav,N,N
2812F.wav,S,S
2813M.wav,H,N
2814F.wav,A,A
2815M.wav,N,N
2816F.wav,A,S
2817M.wav,S,S
2818F.wav,H,A
2819M.wav,H,N
2820F.wav,N,A
2821M.wav,N,N
2822F.wav,S,A
2823M.wav,A,A
2825F.wav,A,A
2826F.wav,S,S
2827F.wav,A,A
2828F.wav,S,A
2830F.wav,A,N
2831M.wav,N,N
2834M.wav,N,N
2835M.wav,N,N
2836F.wav,N,N
2837M.wav,N,N
2838F.wav,A,A
2839F.wav,A,A
2841M.wav,N,N
2844F.wav,N,N
2845M.wav,A,A
2850M.wav,N,A
2851M.wav,A,N
2852M.wav,N,N
2854F.wav,A,A
2856M.wav,N,N
2857F.wav,S,S
2858F.wav,N,N
2859M.wav,A,A
2860F.wav,N,N
2861F.wav,S,W
2862M.wav,W,N
2863M.wav,N,N
2865F.wav,A,A
2866M.wav,N,N
2868M.wav,H,A
2871M.wav,N,N
2873F.wav,N,N
2874M.wav,H,N
2875F.wav,A,A
2876F.wav,W,A
2877M.wav,N,N
2878F.wav,N,A
2879M.wav,A,A
2880M.wav,N,N
2882M.wav,A,A
2884M.wav,S,S
2887F.wav,S,N
2888M.wav,N,N
2889M.wav,H,A
2890M.wav,N,N
2891F.wav,N,N
2892F.wav,A,A
2893M.wav,N,N
2895M.wav,N,N
2896F.wav,H,S
2897M.wav,N,N
2898M.wav,N,N
2900M.wav,N,N
2901F.wav,A,A
2902F.wav,S,S
2903M.wav,N,N
2904M.wav,N,N
2905F.wav,N,A
2906M.wav,A,A
2909M.wav,N,N
2911F.wav,H,A
2912M.wav,A,A
2913M.wav,A,A
2914M.wav,A,A
2915M.wav,N,A
2917F.wav,H,A
2919F.wav,A,A
2920M.wav,H,A
2921M.wav,A,N
2922M.wav,A,A
2923M.wav,N,N
2925F.wav,A,A
2926M.wav,N,N
2927M.wav,W,N
2928F.wav,N,N
2929F.wav,N,N
2932M.wav,N,N
2933M.wav,A,N
2934F.wav,A,N
2936M.wav,N,N
2938F.wav,A,A
2939M.wav,N,N
2940F.wav,A,A
2941M.wav,A,N
2942M.wav,H,N
2943F.wav,A,A
2944M.wav,N,N
2946M.wav,N,N
2947M.wav,N,N
2948F.wav,W,A
2949M.wav,A,A
2951M.wav,A,A
2952F.wav,W,A
2953F.wav,N,S
2954M.wav,H,N
2955M.wav,N,N
2956M.wav,N,A
2957M.wav,A,A
2958M.wav,N,N
2960M.wav,H,A
2961M.wav,N,N
2962M.wav,A,A
2963M.wav,N,N
2964F.wav,W,A
2965M.wav,W,N
2966F.wav,H,A
2967M.wav,N,A
2968F.wav,N,N
2969M.wav,N,N
2970M.wav,N,N
2971M.wav,A,A
2972F.wav,S,S
2973M.wav,N,N
2975M.wav,A,N
2976M.wav,A,A
2977M.wav,N,N
2978F.wav,N,N
2979M.wav,A,A
2980M.wav,A,A
2981M.wav,N,N
2982M.wav,W,N
2983M.wav,N,N
2985F.wav,N,N
2986M.wav,W,A
2987F.wav,N,N
2988M.wav,A,A
2989M.wav,N,N
2990F.wav,S,S
2992M.wav,S,S
2993M.wav,N,N
2995M.wav,N,N
2996F.wav,W,N
2999M.wav,H,N
